timestamp,AmbientLightSensor,DecibelSource,PitchSensor,AccX,AccY,AccZ
1763074334936,1.0,,,-0.07605000585317612,2.0850000381469727,9.391950607299805
1763074334953,,48.15531611853934,162.53592354910714,,,
1763074334958,,,85.88541666666666,,,
1763074334993,,47.07770501827339,85.88541666666666,,,
1763074335005,,,,0.3730500042438507,2.0779500007629395,9.39900016784668
1763074335021,,,,2.2699501514434814,1.29705011844635,9.38895034790039
1763074335037,,51.72238531722031,85.88541666666666,,,
1763074335040,,,,2.2480502128601074,0.9450000524520874,9.382050514221191
1763074335041,1.0,,,,,
1763074335059,,,,1.759950041770935,0.6289500594139099,8.950950622558594
1763074335073,,50.56619776336153,85.88541666666666,,,
1763074335079,,,,0.0070500001311302185,0.6439500451087952,8.944050788879395
1763074335101,,,,-0.7960500121116638,0.9100500345230103,9.310050010681152
1763074335113,,60.603347028677035,,,,
1763074335118,,,,-0.8160000443458557,0.9190500378608704,9.291000366210938
1763074335140,,,,-0.2939999997615814,1.3620001077651978,9.303000450134277
1763074335141,1.0,,,,,
1763074335153,,47.85447498005975,,,,
1763074335157,,,168.828125,-0.8610000610351562,1.3789501190185547,9.310050010681152
1763074335176,,,,,0.3130500018596649,
1763074335177,,,,-5.098950386047363,,9.298050880432129
1763074335193,,49.48315897753807,168.828125,,,
1763074335196,,,,,1.8790501356124878,
1763074335197,,,,-0.30105000734329224,,9.553950309753418
1763074335215,,,,,1.894050121307373,
1763074335218,,,,1.6879501342773438,,9.541950225830078
1763074335233,,53.080123963549006,168.828125,,,
1763074335235,,,,2.3490002155303955,-0.4249500334262848,9.564000129699707
1763074335241,1.0,,,,,
1763074335257,,,,1.9750500917434692,0.5430000424385071,9.820050239562988
1763074335274,,,,1.2570000886917114,0.7950000166893005,9.805950164794922
1763074335275,,51.70092357568069,,,,
1763074335293,,,,,0.8040000200271606,
1763074335294,,,,0.8550000190734863,,9.820050239562988
1763074335313,,48.074415737251215,,0.843000054359436,0.8160000443458557,9.808050155639648
1763074335332,,,,,0.11205000430345535,
1763074335333,,,,0.2580000162124634,,9.817950248718262
1763074335341,1.0,,,,,
1763074335352,,,,,-0.7630500197410583,
1763074335353,,,,-0.4300500154495239,,9.832050323486328
1763074335354,,44.18148029090134,,,,
1763074335363,,,105.77032180059524,,,
1763074335373,,,,-0.4210500121116638,-0.7849500179290771,9.829950332641602
1763074335392,,,,,0.8160000443458557,
1763074335393,,,,-0.4420500099658966,,9.808050155639648
1763074335396,,55.269568561276685,105.77032180059524,,,
1763074335411,,,,,2.202000141143799,
1763074335412,,,,0.19395001232624054,,9.280950546264648
1763074335430,,,,,3.6750001907348633,
1763074335431,,,,2.449050188064575,,9.259950637817383
1763074335437,,44.62378938306603,105.77032180059524,,,
1763074335442,1.0,,,,,
1763074335449,0.0,,,,,
1763074335450,,,,0.89805006980896,0.29205000400543213,9.267000198364258
1763074335470,,,,,1.3980001211166382,
1763074335475,,,,0.8790000677108765,,9.26205062866211
1763074335478,,37.65370607067472,,,,
1763074335496,,,,0.3949500322341919,2.1880500316619873,9.69105052947998
1763074335508,,,,,1.4770500659942627,
1763074335509,,,,1.162950038909912,,9.688950538635254
1763074335515,,34.154395494728654,,,,
1763074335523,,,61.8275146484375,,,
1763074335529,,,,,0.42795002460479736,
1763074335530,,,,1.1560500860214233,,9.684000015258789
1763074335542,0.0,,,,,
1763074335547,,,,,0.06195000186562538,
1763074335548,,,,0.07200000435113907,,9.69105052947998
1763074335555,,32.663161108951535,61.8275146484375,,,
1763074335567,,,,0.8689500689506531,0.6940500140190125,10.23705005645752
1763074335586,,,,,0.6960000395774841,
1763074335587,,,,0.856950044631958,,10.225050926208496
1763074335594,,31.829579877006697,61.8275146484375,,,
1763074335609,,,,0.40905001759529114,0.40005001425743103,10.234050750732422
1763074335626,,,,-0.5879999995231628,0.032999999821186066,10.218000411987305
1763074335635,,30.389331471965875,61.8275146484375,,,
1763074335643,0.0,,,,,
1763074335645,,,,-1.5220500230789185,0.9019500613212585,10.234050750732422
1763074335665,,,,-1.527000069618225,1.3120501041412354,10.231950759887695
1763074335668,1.0,,,,,
1763074335677,,27.99370639361672,,,,
1763074335684,,,,-0.9619500637054443,1.6780500411987305,10.225050926208496
1763074335704,,,,,1.699950098991394,
1763074335706,,,,-0.9709500670433044,,10.22700023651123
1763074335717,,30.117578689444294,0.0,,,
1763074335724,,,,-0.9780000448226929,1.683000087738037,10.219950675964355
1763074335743,,,,-1.4640001058578491,1.3690500259399414,10.222050666809082
1763074335744,1.0,,,,,
1763074335755,,30.02895715419203,,,,
1763074335762,,,,,1.1040000915527344,
1763074335763,,,,-1.4760000705718994,,10.225050926208496
1763074335782,,,,-1.0549499988555908,0.8160000443458557,10.225050926208496
1763074335795,,29.3021038457567,0.0,,,
1763074335801,,,,,1.1610000133514404,10.21500015258789
1763074335802,,,,-0.028050001710653305,,
1763074335821,,,,,1.1680500507354736,10.231950759887695
1763074335826,,,,0.559950053691864,,
1763074335834,,31.09531676715595,,,,
1763074335842,,,,-0.8320500254631042,0.4429500102996826,10.21500015258789
1763074335845,1.0,,,,,
1763074335860,,,,-1.7010000944137573,0.4429500102996826,10.21500015258789
1763074335875,,29.559120794300572,,,,
1763074335879,,,,,0.44505003094673157,
1763074335880,,,,-1.7010000944137573,,9.69105052947998
1763074335884,0.0,,,,,
1763074335899,,,,-1.2060000896453857,0.45000001788139343,9.68595027923584
1763074335918,,27.604314593242115,0.0,,,
1763074335919,,,,-0.781950056552887,0.9169500470161438,9.6739501953125
1763074335942,,,,-0.7840500473976135,0.5430000424385071,9.688950538635254
1763074335946,0.0,,,,,
1763074335955,,27.496232772635025,,,,
1763074335960,,,,-0.7939500212669373,0.09795000404119492,9.67905044555664
1763074335977,,,,-1.6150500774383545,-0.6700500249862671,9.705000877380371
1763074335995,,27.922451368463747,,,,
1763074335996,,,0.0,,2.2170000076293945,
1763074335997,,,,-0.6529500484466553,,9.69105052947998
1763074336016,,,,0.559950053691864,1.64205002784729,9.447000503540039
1763074336034,,25.95557454745225,,,,
1763074336036,,,,1.0770000219345093,1.6540501117706299,9.4350004196167
1763074336046,0.0,,,,,
1763074336059,,,,1.53000009059906,0.9810000658035278,9.43695068359375
1763074336075,,27.132809617358053,0.0,0.9550500512123108,0.3130500018596649,9.4350004196167
1763074336094,,,,0.43095001578330994,0.895050048828125,9.427950859069824
1763074336113,,,,,0.895050048828125,
1763074336114,,25.350902225454135,,0.4120500087738037,,9.427950859069824
1763074336133,,,,0.4120500087738037,1.6849501132965088,9.427950859069824
1763074336146,0.0,,,,,
1763074336152,,,,,2.0370001792907715,
1763074336153,,,,0.7470000386238098,,9.4350004196167
1763074336155,,24.647044323065437,,,,
1763074336176,,,,,2.281050205230713,
1763074336177,,,,0.3730500042438507,,9.43005084991455
1763074336193,,,,-0.8179500102996826,1.64205002784729,9.447000503540039
1763074336199,,28.186331651559904,0.0,,,
