timestamp,AmbientLightSensor,DecibelSource,PitchSensor,AccX,AccY,AccZ
1763074862430,11.0,,,-0.1570500135421753,,
1763074862441,12.0,,,,,
1763074862443,,,,,5.322000026702881,
1763074862444,,,,,,8.632950782775879
1763074862447,,,,-1.1509500741958618,,
1763074862459,,31.480992995697324,,,,
1763074862462,,,172.265625,,,
1763074862463,,,,-1.1479500532150269,4.027050018310547,8.635050773620605
1763074862487,,,,-1.141050100326538,2.9419500827789307,8.641950607299805
1763074862499,,29.43856372520889,172.265625,,,
1763074862503,,,,-1.5079500675201416,2.9640002250671387,9.777000427246094
1763074862520,,,,,3.2149500846862793,
1763074862521,,,,-1.5240000486373901,,10.25100040435791
1763074862531,12.0,,,,,
1763074862539,,24.837037103003077,172.265625,,,
1763074862540,,,,,3.826050281524658,10.246050834655762
1763074862541,,,,-1.5120000839233398,,
1763074862562,,,,-0.9330000281333923,3.826050281524658,10.246050834655762
1763074862580,,25.496370738869697,,,,
1763074862589,,,,-0.3940500319004059,3.835050106048584,9.777000427246094
1763074862598,,,,,3.3160500526428223,
1763074862599,,,,-0.4159500300884247,,9.475050926208496
1763074862618,,,,0.04305000230669975,3.328050136566162,9.466050148010254
1763074862619,,25.999628628099952,0.0,,,
1763074862632,12.0,,,,,
1763074862638,,,,-0.21495001018047333,3.847050189971924,9.472949981689453
1763074862650,9.0,,,,,
1763074862658,,,,,3.309000253677368,
1763074862659,,,,-0.22905001044273376,,9.46095085144043
1763074862660,,22.349139470458425,,,,
1763074862677,,,,-0.22200001776218414,3.325050115585327,8.878950119018555
1763074862696,,,,,3.049950122833252,
1763074862697,,,,,,8.556000709533691
1763074862698,,,,0.10005000233650208,,
1763074862699,,28.09238965372606,,,,
1763074862716,,,,,3.072000026702881,8.539050102233887
1763074862717,,,,-0.21495001018047333,,
1763074862732,9.0,,,,,
1763074862735,,,,-0.23595000803470612,3.0520501136779785,7.543050289154053
1763074862739,,24.313473506031016,0.0,,,
1763074862755,,,,-0.21705001592636108,3.057000160217285,7.540950298309326
1763074862774,,,,-0.22200001776218414,3.061950206756592,7.5360002517700195
1763074862780,,22.830190343808813,,,,
1763074862795,,,,,3.057000160217285,7.540950298309326
1763074862796,,,,-0.21705001592636108,,
1763074862813,,,,,2.7840001583099365,7.5259504318237305
1763074862814,,,,0.3450000286102295,,
1763074862821,,24.252655738439046,,,,
1763074862822,,,0.0,,,
1763074862833,9.0,,,0.8550000190734863,3.258000135421753,7.531050205230713
1763074862852,,,,,4.422000408172607,
1763074862853,,,,1.4149500131607056,,7.219950199127197
1763074862862,,57.49472901235461,,,,
1763074862867,5.0,,,,,
1763074862872,,,,1.120050072669983,6.031050205230713,7.213050365447998
1763074862892,,,,,3.739950180053711,7.64400053024292
1763074862893,,,,0.7609500288963318,,
1763074862903,,61.68937470835887,,,,
1763074862906,,,2098.5498046875,,,
1763074862907,,,2098.5498046875,,,
1763074862921,,,,0.08595000207424164,1.527000069618225,7.639050483703613
1763074862938,,,,,0.4069500267505646,
1763074862939,5.0,,,-0.24300001561641693,,7.633950233459473
1763074862941,,41.4156190820127,2098.5498046875,,,
1763074862950,,,,0.5239500403404236,1.7070001363754272,8.138999938964844
1763074862970,,,,,3.2440502643585205,
1763074862973,,,,,,9.42495059967041
1763074862974,,,,0.5029500126838684,,
1763074862981,,40.752251080622585,2098.5498046875,,,
1763074862984,,,2093.720703125,,,
1763074862985,,,2093.720703125,,,
1763074862999,,,,-0.8400000333786011,3.510000228881836,9.42495059967041
1763074863014,,,,-1.8600001335144043,2.9059500694274902,9.406050682067871
1763074863021,,32.12304344285629,2093.720703125,,,
1763074863031,,,,-1.8600001335144043,2.9110500812530518,9.42495059967041
1763074863040,5.0,,,,,
1763074863047,,,,,3.4450502395629883,
1763074863048,,,,-0.7609500288963318,,9.418050765991211
1763074863061,,29.1776859748949,2093.720703125,,,
1763074863068,,,,,4.14900016784668,9.407999992370605
1763074863069,,,,0.06495000422000885,,
1763074863084,22.0,,,,,
1763074863087,,,,-0.4729500114917755,4.162950038909912,9.418050765991211
1763074863101,,32.74149336991651,2093.720703125,,,
1763074863107,,,,,4.153950214385986,9.403950691223145
1763074863108,,,,-0.781950056552887,,
