AccX,AccY,AccZ,atividade,atividade_lb
2.622000217437744,-7.249050140380859,6.732000350952148,Correndo,2
1.8750001192092896,-9.009000778198242,1.4020500183105469,Correndo,2
-0.6529500484466553,-14.439001083374023,-2.770050048828125,Correndo,2
3.009000062942505,-17.99505043029785,-4.31505012512207,Correndo,2
28.518001556396484,-5.590050220489502,-4.31505012512207,Correndo,2
50.12895202636719,8.767950057983398,-2.7850501537323,Correndo,2
31.345951080322266,13.824000358581545,0.612000048160553,Correndo,2
12.964950561523438,14.557050704956056,6.88200044631958,Correndo,2
8.812950134277344,15.088951110839844,7.70805025100708,Correndo,2
4.590000152587891,15.09795093536377,7.70805025100708,Correndo,2
14.610000610351562,-5.554050445556641,0.0079500004649162,Andando,0
10.020000457763672,-4.024050235748291,-1.6399500370025637,Andando,0
10.200000762939451,-1.065000057220459,-1.675950050354004,Andando,0
12.52005100250244,-2.9250001907348637,-2.830050230026245,Andando,0
11.184000968933104,-1.7400001287460327,-0.6949500441551208,Andando,0
6.6250505447387695,-2.9320502281188965,-1.6549500226974487,Andando,0
11.47095012664795,-5.260050296783447,-1.0180500745773315,Andando,0
5.716950416564941,-3.615000247955322,-1.1970000267028809,Andando,0
12.225000381469728,-1.2079501152038574,-2.4810001850128174,Andando,0
10.566000938415527,-7.953000545501709,-0.6300000548362732,Andando,0
5.860950469970703,5.254950046539307,6.163950443267822,Caminhando,1
5.16195011138916,7.956000328063965,3.669000148773194,Caminhando,1
-9.358050346374512,2.281050205230713,1.495050072669983,Caminhando,1
4.087049961090088,5.81505012512207,5.869950294494629,Caminhando,1
-1.6080000400543213,4.759950160980225,10.167000770568848,Caminhando,1
2.7940502166748047,4.185000419616699,5.226000308990479,Caminhando,1
4.870050430297852,4.069950103759766,9.27405071258545,Caminhando,1
-2.914950132369995,5.277000427246094,10.153050422668455,Caminhando,1
-1.2709500789642334,5.559000492095947,7.075950145721436,Caminhando,1
1.8820500373840328,7.603950500488281,11.28600025177002,Caminhando,1
0.4950000345706939,16.00094985961914,7.692000389099121,Correndo,2
-4.9270501136779785,14.85105037689209,7.692000389099121,Correndo,2
-9.753000259399414,14.47605037689209,7.70805025100708,Correndo,2
-6.097050189971924,12.510000228881836,7.6870503425598145,Correndo,2
20.99505043029785,15.64905071258545,7.170000553131104,Correndo,2
33.98895263671875,17.229000091552734,7.170000553131104,Correndo,2
37.3150520324707,18.996000289916992,9.23805046081543,Correndo,2
41.301002502441406,12.553050994873049,12.054000854492188,Correndo,2
42.810001373291016,5.787000179290772,13.627050399780272,Correndo,2
9.157950401306152,-12.973950386047363,14.407950401306152,Correndo,2
7.555950164794922,-8.506050109863281,-0.0769500061869621,Andando,0
9.028950691223145,-4.891050338745117,-1.5490500926971436,Andando,0
4.273950099945068,-5.971050262451172,-0.364050030708313,Andando,0
3.886050224304199,-0.7800000309944153,1.680000066757202,Andando,0
7.635000228881836,-0.4180500209331512,-2.02305006980896,Andando,0
12.283050537109377,-3.355950117111206,-1.7959500551223757,Andando,0
6.838050365447998,-7.981950283050537,-0.0840000063180923,Andando,0
13.044000625610352,-2.1130499839782715,-1.4560500383377075,Andando,0
4.783950328826904,-5.152050018310547,-0.5680500268936157,Andando,0
10.534950256347656,-1.2660000324249268,-0.2010000050067901,Andando,0
-1.062000036239624,3.80400013923645,4.153050422668457,Caminhando,1
-2.419950008392334,2.86995005607605,9.346050262451172,Caminhando,1
-4.135950088500977,0.2629500031471252,10.021050453186035,Caminhando,1
-6.2410502433776855,2.101950168609619,4.7989501953125,Caminhando,1
-4.2900004386901855,4.077000141143799,4.948050022125244,Caminhando,1
4.6180500984191895,-2.013000011444092,3.3700501918792725,Caminhando,1
-4.431000232696533,0.5359500050544739,2.0869500637054443,Caminhando,1
-1.8619500398635864,2.2669501304626465,10.191000938415527,Caminhando,1
-2.26200008392334,1.2829500436782837,3.2119500637054443,Caminhando,1
-4.0219502449035645,2.5159502029418945,0.4350000321865082,Caminhando,1
-6.945000171661377,-26.097002029418945,14.41005039215088,Correndo,2
-6.934950351715088,-25.350000381469727,3.68595027923584,Correndo,2
-4.933950424194336,-28.165950775146484,-0.3280500173568725,Correndo,2
7.053000450134277,-18.792001724243164,-2.0400002002716064,Correndo,2
11.908950805664062,-17.485050201416016,-2.0310001373291016,Correndo,2
16.246950149536133,-17.497051239013672,-5.887950420379639,Correndo,2
41.81100082397461,23.85900115966797,-7.389000415802002,Correndo,2
14.839950561523438,20.77695083618164,-7.3720502853393555,Correndo,2
0.6180000305175781,17.926050186157227,0.4680000245571136,Correndo,2
-7.951050281524658,19.23300170898437,0.8389500379562378,Correndo,2
11.176050186157228,-4.62000036239624,-0.7230000495910645,Andando,0
